roberta_neg_Exp,roberta_neu_Exp,roberta_pos_Exp,roberta_neg_OSF,roberta_neu_OSF,roberta_pos_OSF,Satis_Bloque,Satis_ODS,Satis_Aporte,Satis_Interaccion,Satis_Herramientas,Satis_Exp,Satis_Liderazgo_OSF,Satis_IT,Retro_OSF,Causa_Interesante,Opp_Egoismo,Nvl_Responsabilidad,Respeto_Diversidad,Promover_Soluciones,OSF_encoded
0.006564439,0.088930294,0.90450525,0.0047919406,0.04585746,0.9493506,4,4,4,3,3,2,4,4,0,1,4,4,5,4,243
0.0023559616,0.040319946,0.9573241,0.0014998544,0.007979418,0.9905207,5,5,5,4,4,3,5,4,1,1,5,5,5,5,30
0.042236738,0.47126174,0.48650154,0.0014713196,0.026394699,0.97213393,4,4,4,5,3,1,5,4,1,1,5,5,4,4,30
0.0012817823,0.008189537,0.99052864,0.0019619693,0.020531049,0.977507,5,5,5,5,5,3,5,5,1,1,5,5,5,5,47
0.014248086,0.19343258,0.79231936,0.011467245,0.15855187,0.8299809,4,4,4,5,3,2,4,4,1,1,5,5,5,5,184
0.0032363872,0.02348279,0.9732808,0.0046396754,0.029745566,0.96561474,5,5,5,5,5,3,5,5,1,1,5,5,5,5,30
0.008363661,0.07240092,0.9192354,0.0015663719,0.0073938505,0.9910398,5,5,5,5,4,3,5,5,1,1,5,5,4,5,118
0.018406413,0.17361131,0.8079823,0.005968846,0.17738871,0.8166424,4,4,4,3,4,2,4,3,1,1,5,4,5,5,243
0.0025481433,0.03462075,0.9628311,0.0013725945,0.009289813,0.98933756,5,5,5,5,5,3,5,5,1,1,4,5,5,5,178
0.002296679,0.022291746,0.9754116,0.0016355072,0.10741531,0.8909492,5,5,5,5,5,3,5,5,1,1,5,5,5,5,168
0.0062592807,0.11274825,0.88099253,0.0022465624,0.027818115,0.96993536,5,5,4,4,4,3,5,4,1,1,5,5,4,4,47
0.22482485,0.45799664,0.31717852,0.0010140865,0.012927573,0.9860583,5,5,5,5,5,3,5,5,1,1,5,5,5,5,254
0.001543624,0.010510938,0.98794544,0.0021495977,0.02261901,0.9752314,5,5,5,5,5,3,5,5,1,1,5,4,5,5,253
0.027006714,0.22051536,0.752478,0.0027639808,0.024101188,0.9731348,5,5,5,5,5,3,5,5,1,1,5,5,5,5,78
0.20817839,0.5498161,0.24200551,0.0027213597,0.02626795,0.9710107,4,4,5,3,2,3,5,5,1,1,4,4,4,4,178
0.0015027509,0.01619933,0.9822979,0.0018583403,0.014843227,0.98329836,5,5,5,4,4,3,5,4,1,1,5,5,5,5,179
0.20817839,0.5498161,0.24200551,0.0022650564,0.024939356,0.9727956,5,5,5,5,5,3,5,5,1,1,4,5,5,5,168
0.010438896,0.12313126,0.8664298,0.0012035231,0.013772445,0.985024,4,5,5,5,4,3,5,4,1,1,5,5,5,5,254
0.0044143307,0.04138051,0.9542051,0.0013292669,0.009520628,0.9891501,4,5,4,3,4,2,4,3,1,1,5,4,5,5,184
0.010374651,0.12519388,0.86443144,0.0038800212,0.034955245,0.9611648,3,4,3,4,3,2,3,4,1,1,4,3,4,3,254
0.0028086812,0.056447048,0.9407442,0.0018250006,0.030425644,0.96774936,4,4,4,4,4,2,4,4,1,1,4,4,4,4,116
0.006497046,0.24022864,0.7532743,0.007077267,0.13158117,0.86134154,5,5,5,5,5,3,4,4,1,1,5,5,5,5,243
0.004289646,0.046137616,0.94957274,0.001200719,0.014320638,0.9844787,5,5,4,5,5,3,5,5,1,1,4,5,4,5,118
0.25829428,0.45127246,0.29043326,0.2582943,0.4512724,0.29043332,5,4,4,3,5,2,5,4,1,1,5,4,5,5,168
0.0016043425,0.028989324,0.9694063,0.0018741903,0.022271534,0.9758542,5,5,5,5,5,3,5,5,1,1,5,4,5,5,86
0.062045798,0.70008636,0.23786789,0.003528077,0.09782145,0.89865047,5,5,5,5,4,3,5,5,1,1,5,5,5,5,233
0.0153917875,0.07994245,0.9046657,0.0022393693,0.040032532,0.9577281,5,5,5,5,4,3,5,5,1,1,5,5,5,5,118
0.0025219033,0.022535136,0.9749429,0.0020218655,0.020664552,0.9773136,4,4,5,5,5,2,5,5,0,1,5,5,5,5,59
0.6196364,0.3577896,0.022574032,0.0042723324,0.019586187,0.97614145,5,5,5,5,5,3,5,5,1,1,5,5,5,5,103
0.0022642934,0.026943063,0.9707927,0.0024412288,0.024084447,0.97347426,5,5,5,4,4,3,4,4,1,1,4,5,4,5,178
0.0030440518,0.025989018,0.970967,0.0025156995,0.043040767,0.9544435,5,5,5,2,2,3,5,5,1,1,3,5,5,5,78
0.009597168,0.07250117,0.9179017,0.006082689,0.045706116,0.9482112,4,4,4,4,4,2,4,4,1,1,4,4,4,4,108
0.0019701205,0.027745476,0.97028434,0.001341968,0.020636497,0.9780215,5,5,5,5,5,3,5,5,1,1,5,5,5,5,45
0.002006846,0.024917072,0.9730761,0.004192672,0.034036346,0.961771,5,5,5,5,2,3,5,4,1,1,5,5,5,5,253
0.029309735,0.18916944,0.7815208,0.001210265,0.017758096,0.9810316,4,4,4,5,3,1,5,5,1,1,4,5,5,4,103
0.014992856,0.1328449,0.8521622,0.0031288338,0.4789626,0.5179086,4,4,5,5,4,3,5,5,1,1,5,5,5,5,168
0.0030392867,0.054201223,0.9427595,0.0023309833,0.017293027,0.980376,5,5,5,5,5,3,5,5,1,1,5,5,5,5,168
0.48144704,0.36690032,0.15165257,0.00289294,0.024965212,0.97214186,3,4,5,2,4,2,4,5,1,1,3,3,3,3,179
0.34054616,0.60398495,0.055468846,0.001281252,0.014105572,0.9846132,4,5,3,5,5,2,4,5,1,1,5,5,5,5,184
0.0028929373,0.024965212,0.97214186,0.011800052,0.11963908,0.8685609,5,5,5,5,5,3,5,5,1,1,5,5,5,5,45
0.0021290598,0.026876997,0.97099394,0.0020634355,0.048480168,0.94945645,5,5,5,5,5,3,5,5,1,1,5,5,5,5,160
0.10502844,0.7864285,0.10854303,0.04838234,0.29645967,0.655158,4,4,4,4,3,2,4,4,1,1,5,3,5,4,253
0.0026375686,0.034780987,0.9625815,0.003423085,0.054144554,0.94243234,4,4,3,3,5,2,5,3,1,1,5,5,5,5,253
0.011046039,0.047623917,0.94133,0.0016664708,0.014823489,0.9835101,5,5,5,5,3,3,5,5,1,1,5,5,5,5,108
0.0024001133,0.059396844,0.9382031,0.005795495,0.060197342,0.93400717,5,4,4,4,3,2,4,4,1,1,4,5,5,4,242
0.0015543184,0.013416153,0.9850295,0.002214461,0.022525882,0.97525966,5,5,4,5,5,3,5,5,1,1,5,5,4,4,168
0.25829428,0.45127246,0.29043326,0.0016273702,0.011625289,0.9867474,5,4,4,4,4,3,5,4,1,1,5,5,5,5,253
0.0017640507,0.054815933,0.94342005,0.0019665202,0.01460314,0.9834304,5,5,5,5,5,3,5,5,1,1,5,5,5,5,66
0.0028700558,0.017278118,0.9798519,0.001998013,0.017864848,0.98013717,5,5,5,5,5,3,5,5,1,1,5,5,5,5,66
